sppnum,gen,spec,genus,species,family,growthform,lifeform,origin,photo
341,muhlen,frond,muhlenbergia,frondosa,poaceae,p,g,n,c4
343,aristi,purpu,aristida,purpurea,poaceae,p,g,n,c4
344,cenchr,longi,cenchrus,longispinus,poaceae,a,g,n,c4
346,erythe,geyer,erythranthe,geyeri,phrymaceae,p,f,n,c3
347,leucos,multi,leucospora,multifida,scrophulariaceae,a,f,n,c3
348,bacopa,rotun,bacopa,rotundifolia,plantaginaceae,p,f,n,c3
349,ribes,misso,ribes,missouriense,grossulariaceae,p,w,n,c3
351,salix,exigu,salix,exigua,salicaceae,p,w,n,c3
352,salix,nigra,salix,nigra,salicaceae,p,w,n,c3
353,salix,amygd,salix,amygdaloides,salicaceae,p,w,n,c3
354,populu,delto,populus,deltoides,salicaceae,p,w,n,c3
355,zantho,ameri,zanthoxylum,americanum,rutaceae,p,w,n,c3
356,galium,circa,galium,circaezans,rubiaceae,p,f,n,c3
357,geum,canad,geum,canadense,rosaceae,p,f,n,c3
358,fragar,virgi,fragaria,virginiana,rosaceae,p,f,n,c3
359,prunus,angus,prunus,angustifolia,rosaceae,p,w,n,c3
360,prunus,pumil,prunus,pumila,rosaceae,p,w,n,c3
361,rubus,pensi,rubus,pensilvanicus,rosaceae,p,w,n,c3
362,smilax,tamno,smilax,tamnoides,smilacaceae,p,w,n,c3
363,clemat,pitch,clematis,pitcheri,ranunculaceae,p,w,n,c3
364,thalic,dasyc,thalictrum,dasycarpum,ranunculaceae,p,f,n,c3
365,argryo,dealb,argyrochosma,dealbata,pteridaceae,p,o,n,c3
366,pellae,glabe,pellaea,glabella,pteridaceae,p,o,n,c3
367,woodsi,obtus,woodsia,obtusa,dryopteridaceae,p,o,n,c3
368,polygo,achor,polygonum,achoreum,polygonaceae,a,f,n,c3
369,persica,lapat,persicaria,lapathifolia,polygonaceae,a,f,n,c3
370,persica,pensy,persicaria,pensylvanica,polygonaceae,a,f,n,c3
371,persica,macul,persicaria,maculosa,polygonaceae,a,f,i,c3
372,persica,punct,persicaria,punctata,polygonaceae,a,f,n,c3
373,hespst,spart,hesperostipa,spartea,poaceae,p,g,n,c3
374,sitani,hystr,sitanion,hystrix,poaceae,p,g,n,c3
375,glycer,stria,glyceria,striata,poaceae,p,g,n,c3
376,leersi,oryzo,leersia,oryzoides,poaceae,p,g,n,c3
377,elymus,villo,elymus,villosus,poaceae,p,g,n,c3
378,paspal,setac,paspalum,setaceum,poaceae,p,g,n,c4
379,echino,crusg,echinochloa,crus-galli,poaceae,a,g,i,c4
380,verben,bract,verbena,bracteata,verbenaceae,p,f,n,c3
381,verben,urtic,verbena,urticifolia,verbenaceae,p,f,n,c3
382,tilia,ameri,tilia,americana,tiliaceae,p,w,n,c3
383,typha,latif,typha,latifolia,typhaceae,p,m,n,c3
384,solanu,ptyca,solanum,ptycanthum,solanaceae,a,f,n,c3
385,physal,pubes,physalis,pubescens,solanaceae,a,f,n,c3
386,veroni,anaga,veronica,anagallis-aquatica,plantaginaceae,p,f,n,c3
387,verbas,thaps,verbascum,thapsus,scrophulariaceae,b,f,i,c3
388,scroph,lance,scrophularia,lanceolata,scrophulariaceae,p,f,n,c3
389,liatri,asper,liatris,aspera,asteraceae,p,f,n,c3
390,tribul,terre,tribulus,terrestris,zygophyllaceae,a,f,n,c4
391,vitis,ripar,vitis,riparia,vitaceae,p,w,n,c3
392,botryc,virgi,botrychium,virginianum,ophioglossaceae,p,o,n,c3
393,ruelli,strep,ruellia,strepens,acanthaceae,p,f,n,c3
394,acer,negun,acer,negundo,aceraceae,p,w,n,c3
395,asimin,trilo,asimina,triloba,annonaceae,p,w,n,c3
396,chaero,procu,chaerophyllum,procumbens,apiaceae,a,f,n,c3
397,sanicu,canad,sanicula,canadensis,apiaceae,b,f,n,c3
398,arctiu,minus,arctium,minus,asteraceae,b,f,n,c3
399,symphy,drumm,symphyotrichum,drummondii,asteraceae,p,f,n,c3
400,symphy,laeve,symphyotrichum,laeve,asteraceae,p,f,n,c3
401,symphy,subul,symphyotrichum,subulatum,asteraceae,a,f,n,c3
402,bidens,bipin,bidens,bipinnata,asteraceae,a,f,n,c3
403,bidens,cernu,bidens,cernua,asteraceae,a,f,n,c3
404,bidens,frond,bidens,frondosa,asteraceae,a,f,n,c3
405,bidens,polyl,bidens,polylepis,asteraceae,a,f,n,c3
406,hetero,canes,heterotheca,canescens,asteraceae,p,f,n,c3
407,cirsiu,altis,cirsium,altissimum,asteraceae,b,f,n,c3
